station_id,last_contact,has_valid_data,last_error
MpundeGS,2026-03-02T08:12:52.090468+00:00,True,
MufumbeBS,2026-03-02T08:01:00.437267+00:00,True,
MukingeGS,2026-03-02T08:56:56.420452+00:00,True,
MulimiKH,2026-03-02T08:56:30.542682+00:00,True,
MulunduCombinedSS,2026-03-02T08:01:25.285104+00:00,True,
MunungaSS,2026-03-02T08:00:45.145381+00:00,True,
MwandiSC,2026-03-02T08:01:23.853898+00:00,True,
MwendaBS,2026-03-02T08:00:36.498079+00:00,True,
NRDC,2026-03-02T08:56:48.307817+00:00,True,
NalusangaSS,2026-03-02T08:01:11.864712+00:00,True,
NampundweSS,2026-03-02T07:57:17.569778+00:00,True,
NangomaSC,2026-03-02T08:01:20.609283+00:00,True,
NchelengeSS,2026-03-02T08:56:19.089950+00:00,True,
NkeyemaSS,2026-03-02T08:01:16.773031+00:00,True,
NkumbiIC,2026-03-02T08:00:37.771321+00:00,True,
NsamaSS,2026-03-02T08:54:30.402155+00:00,True,
NsumbuSS,2026-03-02T08:27:52.085835+00:00,True,
Nyimba FTC,2026-03-02T07:57:21.251975+00:00,True,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_nyimba ftc', 'time', if_...
                                 ^
"
NyunduPS,2026-03-02T08:27:45.246518+00:00,True,
PalabanaUni,2026-03-02T08:56:54.983412+00:00,True,
RusanguUni,2026-03-02T08:00:51.194741+00:00,True,
SOLWEZI,2026-03-02T08:57:10.591775+00:00,True,
SengaMSS,2026-03-02T08:01:15.312696+00:00,True,
SerenjeMET,2026-03-02T08:56:52.483089+00:00,True,
SeshekeMET,2026-03-02T07:56:59.712431+00:00,True,
SiavongaSS,2026-03-02T07:59:55.735355+00:00,True,
SikongoSS,2026-03-02T08:27:32.979663+00:00,True,
